,new_machine,cost,revenue
0,1,3.14,20.9
1,0,3.77,33.57
2,1,3.16,24.31
3,0,2.36,20.35
4,0,1.65,12.6
5,1,4.11,29.28
6,1,2.21,13.67
7,0,6.67,62.9
8,0,9.94,95.94
9,1,2.26,12.99
10,0,4.71,43.11
11,1,2.26,17.71
12,1,3.29,23.1
13,1,7.91,74.06
14,1,1.17,0.0
15,1,0.61,1.2
16,1,0.51,0.0
17,0,5.36,48.28
18,1,5.34,42.57
19,1,6.43,57.81
20,0,11.54,110.5
21,1,5.74,45.19
22,1,2.01,13.67
23,1,5.42,41.33
24,1,0.88,0.23
25,1,3.99,28.16
26,0,0.46,1.06
27,1,9.13,82.92
28,0,2.21,18.01
29,0,1.61,12.43
30,1,1.8,6.53
31,1,4.94,40.95
32,0,1.83,13.91
33,1,3.4,22.56
34,1,0.36,0.0
35,1,3.78,28.2
36,1,2.87,24.96
37,0,2.88,23.26
38,0,8.63,84.02
39,0,3.44,31.3
40,1,2.28,12.05
41,1,2.03,13.72
42,0,3.59,31.54
43,1,1.17,0.95
44,0,3.3,29.73
45,0,3.33,30.04
46,1,0.75,5.22
47,0,0.41,0.0
48,0,1.14,6.7
49,1,1.74,10.76
50,1,2.84,21.68
51,0,1.73,13.2
52,0,13.36,130.75
53,0,0.32,0.0
54,0,0.7,2.85
55,1,1.33,2.2
56,0,3.18,28.25
57,0,0.88,5.36
58,1,2.25,14.89
59,1,1.45,4.83
60,1,1.19,1.23
61,1,1.32,2.11
62,1,4.13,31.05
63,0,0.45,0.0
64,1,0.7,1.81
65,0,1.38,10.05
66,0,5.16,46.37
67,1,0.85,0.0
68,1,5.5,51.31
69,1,1.3,1.09
70,0,11.25,109.74
71,1,2.17,15.51
72,0,11.29,108.43
73,0,2.79,25.81
74,1,4.38,37.37
75,0,0.12,0.0
76,0,1.0,6.27
77,1,1.29,1.4
78,0,1.05,5.36
79,1,0.66,0.35
80,0,1.15,6.91
81,0,1.6,12.04
82,1,0.59,0.0
83,0,3.54,31.78
84,1,3.43,22.52
85,0,0.93,3.59
86,1,2.94,20.77
87,1,0.51,0.57
88,1,3.2,23.83
89,1,8.53,75.44
90,0,1.15,8.41
91,1,4.12,31.17
92,0,0.42,1.5
93,0,3.78,34.35
94,0,1.02,5.64
95,0,0.61,1.34
96,1,3.19,22.82
97,1,0.35,0.0
98,1,5.42,49.54
99,0,0.01,0.0
100,1,3.98,31.63
101,0,0.94,5.04
102,0,3.99,37.45
103,1,10.01,95.48
104,0,0.86,4.42
105,1,2.67,23.47
106,0,2.69,22.88
107,1,2.6,22.03
108,1,0.95,4.46
109,0,9.16,87.3
110,1,2.06,15.12
111,1,6.43,53.8
112,1,3.89,31.11
113,1,1.13,6.91
114,1,5.11,45.99
115,0,1.52,9.95
116,0,6.39,60.9
117,1,2.81,21.52
118,0,6.4,60.66
119,1,3.72,31.25
120,1,4.17,35.26
121,0,2.09,17.4
122,0,9.38,91.25
123,1,3.89,28.53
124,0,1.65,11.8
125,0,2.8,23.87
126,0,0.06,0.0
127,1,1.98,11.3
128,0,3.24,26.71
129,0,1.03,5.64
130,0,2.89,25.09
131,0,1.68,11.19
132,0,0.44,0.0
133,0,1.06,6.46
134,1,3.34,22.42
135,0,2.68,24.14
136,0,2.56,20.91
137,1,4.12,28.98
138,0,3.17,27.28
139,1,2.08,15.1
140,0,6.81,64.47
141,1,2.22,12.37
142,1,2.43,15.51
143,0,6.67,62.95
144,0,4.92,44.94
145,1,4.26,32.25
146,1,0.37,0.0
147,1,7.85,71.56
148,1,3.96,33.89
149,1,20.68,201.16
150,0,0.49,0.0
151,1,6.34,56.9
152,0,0.53,2.55
153,0,2.87,24.8
154,0,0.4,0.0
155,0,5.65,52.94
156,1,5.18,45.61
157,1,2.78,21.97
158,0,1.57,9.82
159,0,0.22,0.0
160,0,3.59,32.75
161,0,1.81,14.61
162,1,4.82,37.48
163,0,6.04,55.57
164,0,11.13,107.99
165,0,5.81,53.55
166,0,0.04,0.0
167,1,1.51,10.45
168,1,4.1,35.43
169,1,0.98,1.68
170,0,2.21,18.26
171,0,0.17,0.0
172,1,1.17,4.76
173,0,0.06,0.0
174,0,4.74,42.66
175,1,1.23,4.73
176,0,1.27,9.86
177,1,8.59,76.98
178,1,3.92,32.68
179,0,0.1,0.0
180,1,0.94,1.76
181,1,3.01,25.81
182,0,2.58,20.83
183,0,0.82,4.09
184,1,8.88,78.18
185,0,2.86,26.07
186,0,2.3,18.61
187,0,2.67,22.23
188,0,3.93,34.94
189,0,1.12,6.33
190,0,1.52,11.11
191,1,1.04,4.95
192,0,0.62,2.5
193,0,8.67,82.79
194,0,4.04,35.31
195,1,2.17,17.31
196,0,0.77,4.56
197,1,1.51,4.63
198,1,0.55,0.0
199,1,2.69,15.9
200,1,1.99,6.57
201,1,4.18,33.28
202,1,1.79,13.01
203,1,0.96,2.54
204,0,0.07,0.0
205,1,0.55,0.0
206,0,3.41,30.1
207,1,2.42,15.52
208,1,3.03,19.87
209,0,6.81,65.56
210,1,14.47,137.1
211,0,0.73,3.86
212,1,3.91,28.98
213,0,0.92,5.42
214,0,0.06,0.0
215,1,4.9,40.32
216,0,1.16,6.23
217,0,1.45,8.33
218,1,2.93,22.51
219,0,5.33,51.03
220,0,2.97,24.71
221,1,6.41,58.29
222,0,0.96,5.16
223,0,4.8,44.17
224,0,0.62,3.26
225,0,9.16,86.35
226,0,3.49,32.89
227,1,1.44,3.94
228,1,9.36,84.94
229,1,4.41,36.2
230,0,0.88,3.87
231,1,1.68,4.58
232,1,3.03,20.0
233,1,0.9,0.0
234,1,1.57,3.62
235,0,1.66,12.89
236,0,1.41,11.65
237,1,2.84,15.22
238,1,1.91,10.28
239,0,2.65,23.62
240,1,6.27,56.64
241,1,0.38,0.21
242,1,2.67,18.65
243,1,1.02,0.0
244,1,4.78,35.54
245,0,1.51,10.53
246,1,2.59,21.35
247,1,1.03,3.31
248,1,1.22,2.18
249,0,2.01,16.2
250,0,1.32,9.72
251,0,8.46,80.65
252,0,4.35,38.73
253,0,4.14,39.63
254,1,7.47,67.87
255,1,0.3,0.1
256,1,2.58,19.79
257,0,2.63,23.13
258,1,9.98,95.05
259,0,1.04,6.5
260,1,1.44,7.64
261,1,0.47,0.0
262,1,0.96,0.0
263,0,7.96,74.75
264,1,4.24,31.57
265,1,4.73,41.94
266,1,1.89,9.73
267,0,2.65,23.38
268,0,0.2,0.0
269,1,2.39,16.27
270,0,11.38,110.39
271,0,6.27,58.54
272,1,1.76,9.5
273,1,10.18,93.52
274,1,1.19,5.54
275,0,8.95,84.55
276,1,8.52,78.12
277,1,5.56,46.51
278,0,2.99,25.55
279,1,6.37,59.83
280,1,1.91,8.92
281,0,5.67,52.33
282,0,2.89,23.86
283,0,0.04,0.0
284,1,1.62,10.07
285,0,0.48,0.61
286,0,12.02,116.7
287,0,1.95,17.21
288,1,2.08,15.73
289,1,3.21,25.84
290,0,1.38,10.43
291,1,0.61,0.53
292,0,5.18,49.0
293,0,0.63,2.54
294,1,2.48,18.91
295,0,0.76,2.99
296,1,0.36,0.0
297,1,6.14,55.72
298,1,11.06,104.37
299,0,9.72,93.74
300,0,7.11,68.4
301,0,4.46,40.48
302,0,1.22,8.13
303,0,0.25,0.95
304,1,2.23,13.33
305,0,0.79,5.19
306,1,0.47,0.32
307,1,0.41,0.0
308,0,3.88,35.92
309,0,0.03,0.0
310,0,4.42,39.47
311,1,1.27,2.79
312,1,0.65,0.0
313,1,0.54,0.0
314,0,3.34,29.44
315,1,1.41,6.19
316,0,1.64,10.91
317,0,2.45,20.82
318,1,6.26,55.55
319,1,4.3,35.22
320,1,1.2,6.24
321,1,0.56,1.38
322,1,0.74,0.0
323,1,2.0,6.84
324,0,0.91,4.78
325,1,2.49,16.68
326,1,4.31,32.62
327,1,4.27,34.19
328,0,1.0,5.49
329,1,2.24,11.96
330,0,0.6,2.8
331,0,4.66,42.76
332,0,0.18,0.0
333,0,3.58,32.22
334,1,5.45,41.23
335,1,5.19,42.52
336,1,0.98,5.27
337,1,1.66,11.34
338,1,3.37,24.03
339,1,1.05,5.72
340,0,1.39,10.47
341,0,0.66,1.91
342,1,2.56,16.54
343,1,0.19,0.0
344,1,5.17,45.52
345,1,0.67,1.64
346,1,2.27,17.2
347,1,1.56,7.87
348,1,3.12,21.33
349,0,9.61,91.6
350,1,3.99,29.79
351,1,1.04,0.0
352,1,1.96,15.11
353,0,2.14,17.87
354,1,2.94,20.88
355,0,3.43,29.57
356,1,1.56,6.82
357,0,0.41,0.0
358,1,1.56,9.9
359,0,9.4,90.2
360,0,0.62,2.08
361,1,7.12,66.51
362,0,2.35,18.82
363,0,1.83,14.39
364,1,6.67,59.19
365,0,1.84,15.52
366,0,3.86,32.9
367,0,1.53,10.96
368,1,7.06,66.89
369,1,3.66,31.48
370,0,3.61,30.41
371,1,1.87,8.82
372,1,4.65,37.79
373,0,3.03,26.65
374,0,0.82,2.03
375,1,1.17,2.26
376,1,5.49,46.7
377,0,9.59,91.2
378,1,2.54,15.91
379,1,3.1,22.71
380,0,5.85,53.72
381,0,1.83,13.2
382,0,9.1,89.13
383,0,2.57,23.14
384,1,5.22,48.44
385,0,7.19,67.75
386,1,5.49,45.58
387,0,0.52,0.38
388,0,2.97,27.73
389,1,2.06,11.66
390,1,0.49,0.0
391,0,1.66,11.75
392,1,1.33,6.85
393,1,6.13,54.08
394,0,0.1,0.0
395,0,9.58,91.55
396,0,1.32,10.83
397,1,1.82,10.19
398,0,0.05,0.0
399,1,1.61,5.34
400,0,1.54,11.11
401,1,8.53,76.23
402,0,0.31,0.0
403,0,8.72,84.15
404,0,6.11,57.34
405,0,1.82,16.15
406,0,1.19,8.23
407,1,1.56,6.53
408,1,3.64,24.37
409,0,0.1,0.0
410,1,0.23,0.0
411,1,2.34,15.33
412,1,0.54,0.0
413,1,1.33,5.49
414,1,0.79,4.13
415,1,1.3,4.41
416,1,1.36,1.69
417,0,0.04,0.0
418,1,1.19,0.82
419,1,3.52,28.14
420,0,10.98,107.28
421,0,13.92,136.56
422,0,1.58,11.91
423,0,0.53,3.6
424,0,3.05,27.61
425,0,2.02,16.9
426,1,13.82,132.6
427,0,0.2,0.0
428,0,4.59,41.67
429,0,1.02,6.19
430,1,1.42,4.98
431,1,3.9,31.33
432,0,0.85,3.94
433,1,3.96,30.04
434,1,2.59,18.66
435,0,1.66,13.12
436,1,2.96,22.1
437,1,1.32,6.97
438,1,3.76,32.68
439,0,1.61,13.17
440,0,1.34,8.26
441,0,5.29,48.99
442,0,7.77,72.11
443,1,1.04,0.02
444,0,0.79,3.89
445,1,2.26,10.88
446,0,5.06,46.61
447,0,12.7,122.81
448,1,11.35,102.86
449,1,7.41,68.98
450,0,1.06,6.28
451,1,15.34,142.06
452,1,1.19,5.74
453,1,0.34,0.38
454,0,9.04,85.43
455,1,1.2,4.47
456,0,3.51,33.27
457,1,0.92,0.0
458,0,3.94,35.66
459,1,6.57,58.6
460,1,1.07,6.02
461,1,2.13,12.27
462,0,1.41,10.94
463,1,4.54,38.07
464,0,0.81,2.32
465,0,0.57,2.71
466,1,2.21,14.0
467,1,1.14,7.21
468,1,5.89,51.43
469,1,0.84,5.33
470,1,3.05,18.32
471,0,8.57,82.57
