userid,os,platform,converted
1,android,tablet,0
2,android,tablet,0
3,android,phone,0
4,android,tablet,0
5,ios,tablet,0
6,android,tablet,0
7,android,tablet,0
8,android,tablet,0
9,android,tablet,0
10,android,tablet,0
11,android,phone,0
12,android,tablet,0
13,android,tablet,0
14,android,phone,0
15,android,tablet,0
16,android,phone,0
17,ios,phone,0
18,android,tablet,0
19,android,tablet,0
20,ios,phone,0
21,ios,phone,0
22,android,phone,0
23,ios,phone,0
24,ios,phone,1
25,ios,tablet,0
26,ios,phone,0
27,android,phone,0
28,android,tablet,0
29,android,tablet,0
30,android,tablet,1
31,ios,phone,0
32,android,tablet,0
33,ios,phone,0
34,android,tablet,0
35,android,tablet,0
36,android,tablet,0
37,android,tablet,0
38,android,tablet,0
39,android,tablet,0
40,ios,tablet,0
41,android,tablet,0
42,android,phone,0
43,ios,phone,0
44,ios,phone,0
45,ios,tablet,0
46,ios,phone,0
47,android,tablet,0
48,ios,phone,0
49,android,tablet,0
50,android,tablet,0
51,ios,phone,0
52,ios,phone,0
53,ios,phone,0
54,android,tablet,0
55,android,tablet,0
56,android,phone,0
57,android,tablet,0
58,android,tablet,0
59,android,phone,0
60,android,phone,0
61,android,tablet,0
62,android,tablet,0
63,android,tablet,1
64,ios,phone,0
65,ios,phone,0
66,ios,tablet,0
67,ios,tablet,0
68,android,phone,0
69,ios,phone,0
70,ios,phone,0
71,android,tablet,0
72,ios,phone,0
73,android,tablet,0
74,android,tablet,0
75,android,tablet,0
76,android,tablet,0
77,android,phone,0
78,ios,phone,0
79,android,phone,0
80,ios,phone,0
81,android,tablet,0
82,android,tablet,0
83,ios,phone,0
84,android,tablet,0
85,android,tablet,0
86,ios,phone,0
87,android,tablet,0
88,ios,phone,0
89,ios,tablet,0
90,android,tablet,0
91,ios,phone,0
92,android,tablet,1
93,android,tablet,1
94,ios,phone,0
95,android,tablet,0
96,android,phone,0
97,ios,phone,0
98,android,tablet,0
99,android,tablet,0
100,ios,phone,0
101,ios,phone,0
102,android,tablet,0
103,ios,phone,0
104,ios,tablet,0
105,android,tablet,0
106,android,phone,0
107,ios,phone,0
108,android,phone,0
109,android,tablet,0
110,android,tablet,0
111,android,tablet,0
112,android,phone,0
113,ios,phone,0
114,ios,phone,0
115,android,tablet,1
116,android,tablet,0
117,android,tablet,0
118,ios,tablet,0
119,android,tablet,0
120,android,tablet,0
121,android,tablet,0
122,ios,phone,0
123,android,phone,0
124,android,tablet,0
125,android,phone,0
126,ios,phone,1
127,android,tablet,0
128,android,tablet,0
129,ios,phone,0
130,ios,tablet,0
131,android,tablet,0
132,android,tablet,0
133,ios,tablet,0
134,android,tablet,1
135,ios,tablet,0
136,android,phone,0
137,ios,phone,0
138,android,tablet,0
139,android,tablet,0
140,ios,phone,0
141,android,tablet,0
142,android,tablet,0
143,android,tablet,0
144,android,tablet,0
145,android,tablet,0
146,ios,tablet,0
147,android,tablet,0
148,android,tablet,0
149,ios,phone,0
150,android,tablet,0
151,android,tablet,0
152,android,tablet,0
153,android,tablet,0
154,ios,phone,0
155,ios,phone,0
156,android,phone,0
157,android,tablet,0
158,ios,phone,0
159,android,tablet,0
160,ios,tablet,0
161,android,tablet,0
162,android,phone,0
163,android,tablet,0
164,android,tablet,0
165,android,phone,0
166,android,phone,0
167,ios,phone,0
168,android,tablet,0
169,ios,tablet,0
170,android,tablet,0
171,android,phone,0
172,ios,tablet,0
173,ios,phone,0
174,ios,tablet,0
175,ios,tablet,1
176,android,tablet,0
177,android,tablet,0
178,ios,phone,0
179,android,tablet,0
180,ios,phone,0
181,ios,tablet,0
182,android,tablet,0
183,ios,phone,0
184,android,tablet,0
185,android,tablet,0
186,android,tablet,0
187,ios,tablet,0
188,android,tablet,0
189,ios,tablet,0
190,ios,tablet,0
191,android,tablet,0
192,android,tablet,1
193,ios,phone,0
194,ios,phone,0
195,android,phone,0
196,android,phone,0
197,android,tablet,0
198,android,tablet,0
199,android,tablet,0
200,android,tablet,0
201,ios,tablet,0
202,android,tablet,0
203,android,tablet,0
204,ios,phone,0
205,android,tablet,0
