Sales calls,Interactions,Economy,Last upgrade,Discount,Monthly usage,Ad spend,Bugs reported,renewed
2,2,0.719053706,17.03698449,0.283774353,0.825265476,0.803089567,1,0
3,3,0.188017082,13.46417215,0.059483382,0.287509414,0.275391412,0,1
2,2,0.387436764,1.63193019,0.16727329,0.433488746,1.39676842,1,0
2,2,0.866165421,7.710981273,0.330206942,0.23534891,0.218303356,0,0
2,2,0.585444364,6.39147775,0.299390325,0.824210983,0.815360432,1,0
3,4,0.649150589,9.583912122,0.222662047,0.594912631,0.586194866,0,0
2,2,0.236060119,5.100916659,0.069826672,0.440015646,0.43046659,1,1
4,4,0.005747394,4.41288231,0.205702247,0.527957095,0.492284411,0,0
4,4,0.022220065,4.071447997,0.054414542,0.84370392,0.770225524,0,1
2,2,0.268372693,12.2287014,0.287680232,0.632400824,0.593884969,1,0
3,3,0.957586931,17.45665308,0.295278411,0.611366163,0.581517433,0,0
2,2,0.427864134,2.21861908,0.114034223,0.677267487,0.614859517,0,0
2,2,0.304219658,3.777409695,0.323389749,0.909433596,0.835726525,2,1
4,5,0.243436495,11.56692033,0.35367955,0.289218844,0.263891718,0,0
0,0,0.992571977,12.77200839,0.336616755,0.404733475,0.365787554,0,0
0,0,0.222644754,4.695179032,0.380762408,0.186222604,0.173637218,0,0
0,1,0.138997197,3.38326004,0.411320833,0.148291097,0.145689777,0,0
3,3,0.522576337,7.322129688,0.157264242,0.642765494,0.633771667,1,1
3,4,0.321337739,4.99852905,0.145112393,0.133742903,0.122044255,0,0
3,4,0.648102694,6.449761972,0.344377884,0.614874205,0.596113832,0,0
4,5,0.271937591,9.481533142,0.126803895,0.576966033,0.544529119,2,0
3,3,0.743129319,6.088753997,0.096770807,0.355843544,0.338346812,2,0
2,2,0.587717024,19.16349113,0.257787316,0.387920945,0.38013426,1,0
3,3,0.705935108,7.215389019,0.282610271,0.27248877,0.262582807,0,0
0,1,0.763256158,5.246405898,0.372019696,0.373719281,0.362230613,0,0
3,3,0.17778749,17.37889788,0.228481677,0.621358948,0.563020445,0,0
1,2,0.367780752,12.51533418,0.249766583,0.223940742,0.206066107,0,1
4,5,0.199261604,0.671321609,0.211628009,0.727822039,2.682986417,2,0
2,2,0.638992897,3.614227651,0.273499834,0.307713567,0.303464854,0,0
2,2,0.938746952,9.249347668,0.291143239,0.472829018,0.460641143,0,0
1,2,0.161795683,14.93397372,0.158148119,0.220234912,0.200017262,0,0
3,3,0.38461362,19.36478498,0.077150127,0.448697549,0.435344969,0,0
2,2,0.515252326,6.315754853,0.262559621,0.488000418,0.464577719,1,1
2,3,0.65440662,9.07395074,0.150589369,0.649095135,0.629824312,4,1
0,0,0.165772116,9.476891634,0.268065956,0.256832132,0.250084834,0,0
2,2,0.549255506,5.718260653,0.137689429,0.286442036,0.26111226,1,1
2,2,0.160657602,5.789271578,0.208127044,0.664475397,0.59898979,1,0
2,2,0.262654228,6.643414761,0.186841222,0.574939652,0.535980317,0,1
4,4,0.347736582,14.60676614,0.281237032,0.635797386,0.624114128,0,0
3,3,0.640012649,15.27500397,0.190645804,0.767325974,0.757247996,1,0
1,1,0.27923819,17.02267539,0.253642543,0.413201921,0.380810845,0,0
2,3,0.742014058,13.42029318,0.18818247,0.594428462,0.550763932,1,1
3,4,0.988572062,8.77087519,0.126879109,0.642620696,0.588316912,1,0
0,0,0.293557038,0.042186516,0.286269423,0.182195846,2.175082562,0,1
3,3,0.337834355,16.68067485,0.35179576,0.444163202,0.438656155,0,0
3,3,0.41774772,8.367816616,0.129477267,0.21615633,0.195500814,0,0
1,1,0.878518621,10.69969177,0.416017808,0.19310345,0.181329212,0,0
1,1,0.272471213,8.691274698,0.369721622,0.341473217,0.316745531,0,0
1,3,0.429733313,16.82949663,0.374142026,0.850854092,0.830009711,1,0
1,1,0.144097765,16.62491222,0.15284394,0.460733678,0.433615034,1,0
2,2,0.365102103,6.423772273,0.233941713,0.524883992,0.510754122,1,0
2,2,0.808215825,18.92711513,0.23655705,0.735234455,0.725562164,1,0
4,4,0.567532893,19.58375101,0.217837641,0.327413759,0.316326265,0,0
0,0,0.534867983,6.830070904,0.225532362,0.69428568,0.646524956,0,0
1,2,0.843670029,4.884341267,0.389466592,0.61452005,0.578433086,0,0
1,1,0.092983551,16.74410014,0.181334893,0.342482895,0.320685791,0,0
3,3,0.725811835,13.83375318,0.353572668,0.204124594,0.193343975,0,0
1,1,0.035781268,16.50357065,0.376484353,0.357573266,0.332647243,0,1
2,2,0.894211099,7.634091453,0.140174315,0.24044335,0.234298416,0,0
1,1,0.205248926,5.822334511,0.322317978,0.471923069,0.440066391,1,0
1,1,0.595766747,10.41645295,0.151536923,0.615887506,0.558050212,2,1
0,1,0.112319387,14.8313484,0.376484205,0.382308681,0.363489753,0,0
3,3,0.548645881,5.17418609,0.148971223,0.686784857,0.647673966,1,0
1,1,0.195837823,10.69035868,0.099947932,0.232251535,0.223588578,1,1
1,1,0.806305504,10.55891953,0.131635067,0.533802856,0.527978458,1,1
1,1,0.307336136,13.08280402,0.18336478,0.601384624,0.574859286,1,1
3,3,0.285314951,4.113232166,0.146797662,0.622644528,0.590281204,2,1
0,1,0.380304606,10.81274828,0.183709271,0.671464777,0.618915299,1,0
