Customer,State,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Vehicle Class,Vehicle Size, Customer Lifetime Value 
QZ44356,Arizona,Extended,Bachelor,Unemployed,F,0,Suburban,Single,Four-Door Car,Medsize," $6,980 "
AI49188,Nevada,Premium,Bachelor,Employed,F,48767,Suburban,Married,Two-Door Car,Medsize," $12,887 "
HB64268,Washington,Basic,Bachelor,Employed,M,43836,Rural,Single,Four-Door Car,Medsize," $2,814 "
OC83172,Oregon,Basic,Bachelor,Employed,F,62902,Rural,Married,Two-Door Car,Medsize," $8,256 "
SX51350,California,Basic,College,Unemployed,M,0,Suburban,Single,Four-Door Car,Small," $4,739 "
VQ65197,California,Basic,College,Unemployed,F,0,Suburban,Married,SUV,Medsize," $8,197 "
FV94802,Nevada,Basic,High School or Below,Medical Leave,M,25049,Suburban,Married,Two-Door Car,Medsize," $2,567 "
OE15005,California,Basic,College,Medical Leave,M,28855,Suburban,Married,SUV,Medsize," $3,945 "
WC83389,Oregon,Basic,College,Employed,M,51148,Urban,Married,Four-Door Car,Medsize," $5,710 "
ZK25313,Oregon,Basic,High School or Below,Employed,M,57749,Suburban,Single,Two-Door Car,Medsize," $2,872 "
SV62436,Washington,Extended,Bachelor,Disabled,F,13789,Suburban,Divorced,Four-Door Car,Medsize," $3,042 "
YH23384,Arizona,Basic,Bachelor,Medical Leave,M,14072,Suburban,Divorced,Four-Door Car,Medsize," $24,128 "
FS42516,Oregon,Basic,College,Employed,M,97541,Suburban,Married,Four-Door Car,Large," $5,802 "
US89481,California,Premium,Bachelor,Unemployed,F,0,Suburban,Single,Four-Door Car,Small," $3,946 "
GE62437,Arizona,Premium,College,Employed,F,86584,Suburban,Single,Four-Door Car,Large," $12,903 "
EJ77678,Oregon,Extended,Master,Employed,F,75690,Suburban,Married,Four-Door Car,Small," $3,235 "
SV85652,Arizona,Basic,College,Employed,M,23158,Suburban,Married,Four-Door Car,Small," $2,455 "
PF41800,California,Basic,Bachelor,Unemployed,M,0,Urban,Married,Four-Door Car,Medsize," $4,715 "
YV55495,Arizona,Basic,High School or Below,Employed,F,68987,Urban,Married,Four-Door Car,Medsize," $5,744 "
KY38074,California,Premium,Bachelor,Employed,M,42305,Suburban,Married,Four-Door Car,Small," $13,892 "
DM79012,Oregon,Extended,Master,Employed,F,65706,Suburban,Married,Four-Door Car,Small," $7,381 "
CM61827,Oregon,Extended,Bachelor,Unemployed,M,0,Suburban,Single,Two-Door Car,Small," $3,090 "
WC35801,Arizona,Basic,High School or Below,Employed,M,53243,Rural,Divorced,Four-Door Car,Medsize," $2,522 "
IL19217,California,Extended,Bachelor,Employed,F,60021,Suburban,Married,Four-Door Car,Small," $3,939 "
SR38658,Arizona,Basic,High School or Below,Employed,M,43244,Suburban,Married,Sports Car,Medsize," $12,232 "
HG65722,Oregon,Premium,Doctor,Disabled,F,10105,Rural,Married,SUV,Medsize," $12,819 "
BU27331,Arizona,Basic,Bachelor,Unemployed,M,0,Suburban,Single,Four-Door Car,Medsize," $4,469 "
XM45289,Oregon,Basic,High School or Below,Employed,F,23218,Suburban,Single,Two-Door Car,Medsize," $5,514 "
SH90947,Arizona,Basic,High School or Below,Unemployed,F,0,Suburban,Married,Four-Door Car,Medsize," $2,294 "
WE95729,Oregon,Basic,College,Employed,M,24804,Suburban,Married,SUV,Small," $36,707 "
XR95069,Washington,Basic,Bachelor,Employed,M,29834,Suburban,Single,Four-Door Car,Medsize," $4,855 "
